Segment #,Depth from Pile Head,Top Elevation of Segment,Midpoint Elevation,Bottom Elevation of Segment, Shaft Shape,Shaft Size, Shaft Perimeter, Soil Cylinder Diameter, Soil Cylinder Perimeter, Helix Diameter, Helix Area, Is Interhelix?, Helix ID, Thickness,Is Segment Above Ground?,Soil Layer Name,Phi,Delta,Coeff. of Lateral Earth Pressure,Adhesion Factor (Alpha),Undrained Shear Strength,Soil Unit Weight,Saturated Unit Weight,NcPrime (C),NqPrime (C), NgammaPrime (C), NcPrime (U),NqPrime (U), NgammaPrime (U), 
1,0,1.2,1.17497,1.14995,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2,0.05005,1.14995,1.12492,1.0999,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3,0.1001,1.0999,1.07488,1.04985,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
4,0.15015,1.04985,1.02483,0.9998,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5,0.2002,0.9998,0.974775,0.94975,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6,0.25025,0.94975,0.924725,0.8997,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7,0.3003,0.8997,0.874675,0.84965,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8,0.35035,0.84965,0.824625,0.7996,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9,0.4004,0.7996,0.774575,0.74955,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10,0.45045,0.74955,0.724525,0.6995,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
11,0.5005,0.6995,0.674475,0.64945,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
12,0.55055,0.64945,0.624425,0.5994,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
13,0.6006,0.5994,0.574375,0.54935,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
14,0.65065,0.54935,0.524325,0.4993,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
15,0.7007,0.4993,0.474275,0.44925,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
16,0.75075,0.44925,0.424225,0.3992,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
17,0.8008,0.3992,0.374175,0.34915,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
